"seller_id","name","domain","directness","comment","contact_email","contact_address","version","seller_json_source"
"95505","ADMEDIA","Monetize.com","DIRECT",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"87180","ADMEDIA","Monetize.com","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"pub-9910893758418484","ADX","google.com","DIRECT",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"pub-8434185908489285","ADX","google.com","DIRECT",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"1613","DEFYMEDIA","appnexus.com","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"3326","DEFYMEDIA","appnexus.com","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"pub-1409765517756851","DEFYMEDIA","google.com","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"pub-4075894099602271","DEFYMEDIA","google.com","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"146081","DEFYMEDIA","freewheel.tv","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"8861","DEFYMEDIA","rubiconproject.com","RESELLER","0bfd66d529a55807","sales-dev@adflare.com","Adflare",1,"adflare.com"
"100769","DISTRICTMDMX","districtm.io","DIRECT",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"7944","DISTRICTMDMX","appnexus.com","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"1908","DISTRICTMDMX","appnexus.com","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"126686","KOMOONA","openx.com","RESELLER","6a698e2ec38604c6","sales-dev@adflare.com","Adflare",1,"adflare.com"
"537120224","KOMOONA","openx.com","RESELLER","6a698e2ec38604c6","sales-dev@adflare.com","Adflare",1,"adflare.com"
"32702","KOMOONA","pubmatic.com","RESELLER","5d62403b186f2ace","sales-dev@adflare.com","Adflare",1,"adflare.com"
"51048","KOMOONA","pubmatic.com","RESELLER","5d62403b186f2ace","sales-dev@adflare.com","Adflare",1,"adflare.com"
"116164","KOMOONA","pubmatic.com","RESELLER","5d62403b186f2ace","sales-dev@adflare.com","Adflare",1,"adflare.com"
"156262","KOMOONA","pubmatic.com","RESELLER","5d62403b186f2ace","sales-dev@adflare.com","Adflare",1,"adflare.com"
"3068080230","KOMOONA","rhythmone.com","DIRECT","a670c89d4a324e47","sales-dev@adflare.com","Adflare",1,"adflare.com"
"2058060463","KOMOONA","rhythmone.com","DIRECT","a670c89d4a324e47","sales-dev@adflare.com","Adflare",1,"adflare.com"
"1100001651","KOMOONA","smaato.com","RESELLER",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"206458","KOMOONA","inner-active.com","DIRECT",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"256093","KOMOONA","komoona.com","DIRECT",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"2189","KOMOONA","imonomy.com","DIRECT",NA,"sales-dev@adflare.com","Adflare",1,"adflare.com"
"pub-7169237679086737","KOMOONA","google.com","RESELLER","f08c47fec0942fa0","sales-dev@adflare.com","Adflare",1,"adflare.com"
"537104839","KOMOONA","openx.com","RESELLER","6a698e2ec38604c6","sales-dev@adflare.com","Adflare",1,"adflare.com"
"540299346","KOMOONA","openx.com","RESELLER","6a698e2ec38604c6","sales-dev@adflare.com","Adflare",1,"adflare.com"
"540606043","KOMOONA","openx.com","RESELLER","6a698e2ec38604c6","sales-dev@adflare.com","Adflare",1,"adflare.com"
"0013300001qFpAmAAK","KOMOONA","33across.com","RESELLER","bbea06d9c4d2853c","sales-dev@adflare.com","Adflare",1,"adflare.com"
