"seller_id","seller_type","domain","name","is_confidential","contact_email","contact_address","version","seller_json_source"
"9","INTERMEDIARY","concept.dk","Concept ApS",NA,"publishers@adform.com","Adform A/S, Wildersgade 10B, 1, 1408 Copenhagen, Denmark","1.0","adform.com"
"27","BOTH","jubii.dk","Jubii A/S",NA,"publishers@adform.com","Adform A/S, Wildersgade 10B, 1, 1408 Copenhagen, Denmark","1.0","adform.com"
"30","PUBLISHER","mtvuutiset.fi","MTV Sisallot Oy",NA,"publishers@adform.com","Adform A/S, Wildersgade 10B, 1, 1408 Copenhagen, Denmark","1.0","adform.com"
"34","PUBLISHER","aller.no","Aller Media AS",NA,"publishers@adform.com","Adform A/S, Wildersgade 10B, 1, 1408 Copenhagen, Denmark","1.0","adform.com"
"37","PUBLISHER","media.zoznam.sk","Zoznam s.r.o",NA,"publishers@adform.com","Adform A/S, Wildersgade 10B, 1, 1408 Copenhagen, Denmark","1.0","adform.com"
"38","INTERMEDIARY","improvemedia.fi","Improve Media Oy",NA,"publishers@adform.com","Adform A/S, Wildersgade 10B, 1, 1408 Copenhagen, Denmark","1.0","adform.com"
"43","PUBLISHER","annoncering.berlingske.dk","Berlingske Media A / S",NA,"publishers@adform.com","Adform A/S, Wildersgade 10B, 1, 1408 Copenhagen, Denmark","1.0","adform.com"
"46","BOTH","enirogroup.com","Eniro Norge AS",NA,"publishers@adform.com","Adform A/S, Wildersgade 10B, 1, 1408 Copenhagen, Denmark","1.0","adform.com"
"47","INTERMEDIARY","behrentzmedia.dk","Behrentz Media ApS",NA,"publishers@adform.com","Adform A/S, Wildersgade 10B, 1, 1408 Copenhagen, Denmark","1.0","adform.com"
"50","BOTH","eniro.dk","Eniro Denmark A/S",NA,"publishers@adform.com","Adform A/S, Wildersgade 10B, 1, 1408 Copenhagen, Denmark","1.0","adform.com"
"51","PUBLISHER",NA,"SymDroid Services",NA,"publishers@adform.com","Adform A/S, Wildersgade 10B, 1, 1408 Copenhagen, Denmark","1.0","adform.com"
"90","PUBLISHER","tv2.dk","TV2 Danmark A/S",NA,"publishers@adform.com","Adform A/S, Wildersgade 10B, 1, 1408 Copenhagen, Denmark","1.0","adform.com"
"96","INTERMEDIARY",NA,"4W MarketPlace S.r.l.",NA,"publishers@adform.com","Adform A/S, Wildersgade 10B, 1, 1408 Copenhagen, Denmark","1.0","adform.com"
"99","PUBLISHER",NA,"AliaWeb spol. s r.o.",NA,"publishers@adform.com","Adform A/S, Wildersgade 10B, 1, 1408 Copenhagen, Denmark","1.0","adform.com"
"101","INTERMEDIARY","yrityksille.otavamedia.fi","Otavamedia Oy",NA,"publishers@adform.com","Adform A/S, Wildersgade 10B, 1, 1408 Copenhagen, Denmark","1.0","adform.com"
"102","INTERMEDIARY","primerealtime.com","Prime Real Time S.r.l.",NA,"publishers@adform.com","Adform A/S, Wildersgade 10B, 1, 1408 Copenhagen, Denmark","1.0","adform.com"
"108","PUBLISHER","boliga.dk","Boliga ApS",NA,"publishers@adform.com","Adform A/S, Wildersgade 10B, 1, 1408 Copenhagen, Denmark","1.0","adform.com"
