"seller_id","seller_type","is_confidential","name","domain","contact_email","contact_address","version","seller_json_source"
"3","PUBLISHER",1,NA,NA,"fluct_g_ms@voyagegroup.com","FLUCT, INC., SHIBUYA SOLASTA 15F., 1-21-1, DOGENZAKA, SHIBUYA-KU, TOKYO, JAPAN","1.0","adingo.jp"
"11","PUBLISHER",NA,"<U+682A><U+5F0F><U+4F1A><U+793E>VOYAGE MARKETING(<U+65E7>VG)","voyagemarketing.com","fluct_g_ms@voyagegroup.com","FLUCT, INC., SHIBUYA SOLASTA 15F., 1-21-1, DOGENZAKA, SHIBUYA-KU, TOKYO, JAPAN","1.0","adingo.jp"
"14","PUBLISHER",1,NA,NA,"fluct_g_ms@voyagegroup.com","FLUCT, INC., SHIBUYA SOLASTA 15F., 1-21-1, DOGENZAKA, SHIBUYA-KU, TOKYO, JAPAN","1.0","adingo.jp"
"19","PUBLISHER",NA,"~201609 <U+682A><U+5F0F><U+4F1A><U+793E><U+30B5><U+30A4><U+30BE><U+30FC>","cyzo.co.jp","fluct_g_ms@voyagegroup.com","FLUCT, INC., SHIBUYA SOLASTA 15F., 1-21-1, DOGENZAKA, SHIBUYA-KU, TOKYO, JAPAN","1.0","adingo.jp"
"21","PUBLISHER",NA,"<U+6709><U+9650><U+4F1A><U+793E><U+30DF><U+30EB><U+30DF><U+30EB>","milmil.co.jp","fluct_g_ms@voyagegroup.com","FLUCT, INC., SHIBUYA SOLASTA 15F., 1-21-1, DOGENZAKA, SHIBUYA-KU, TOKYO, JAPAN","1.0","adingo.jp"
"25","PUBLISHER",1,NA,NA,"fluct_g_ms@voyagegroup.com","FLUCT, INC., SHIBUYA SOLASTA 15F., 1-21-1, DOGENZAKA, SHIBUYA-KU, TOKYO, JAPAN","1.0","adingo.jp"
"30","PUBLISHER",NA,"<U+30ED><U+30B8><U+30C3><U+30AF><U+30D5><U+30A1><U+30AF><U+30C8><U+30EA><U+30FC><U+682A><U+5F0F><U+4F1A><U+793E>","logicfactory.co.jp","fluct_g_ms@voyagegroup.com","FLUCT, INC., SHIBUYA SOLASTA 15F., 1-21-1, DOGENZAKA, SHIBUYA-KU, TOKYO, JAPAN","1.0","adingo.jp"
"31","PUBLISHER",1,NA,NA,"fluct_g_ms@voyagegroup.com","FLUCT, INC., SHIBUYA SOLASTA 15F., 1-21-1, DOGENZAKA, SHIBUYA-KU, TOKYO, JAPAN","1.0","adingo.jp"
"34","PUBLISHER",1,NA,NA,"fluct_g_ms@voyagegroup.com","FLUCT, INC., SHIBUYA SOLASTA 15F., 1-21-1, DOGENZAKA, SHIBUYA-KU, TOKYO, JAPAN","1.0","adingo.jp"
"35","PUBLISHER",1,NA,NA,"fluct_g_ms@voyagegroup.com","FLUCT, INC., SHIBUYA SOLASTA 15F., 1-21-1, DOGENZAKA, SHIBUYA-KU, TOKYO, JAPAN","1.0","adingo.jp"
"38","PUBLISHER",NA,"<U+30D4><U+30AF><U+30B7><U+30D6><U+682A><U+5F0F><U+4F1A><U+793E>","pixiv.co.jp","fluct_g_ms@voyagegroup.com","FLUCT, INC., SHIBUYA SOLASTA 15F., 1-21-1, DOGENZAKA, SHIBUYA-KU, TOKYO, JAPAN","1.0","adingo.jp"
"39","PUBLISHER",NA,"<U+682A><U+5F0F><U+4F1A><U+793E><U+30BD><U+30B7><U+30AA><U+30B3><U+30FC><U+30DD><U+30EC><U+30FC><U+30B7><U+30E7><U+30F3>","socio2001.com","fluct_g_ms@voyagegroup.com","FLUCT, INC., SHIBUYA SOLASTA 15F., 1-21-1, DOGENZAKA, SHIBUYA-KU, TOKYO, JAPAN","1.0","adingo.jp"
"40","PUBLISHER",1,NA,NA,"fluct_g_ms@voyagegroup.com","FLUCT, INC., SHIBUYA SOLASTA 15F., 1-21-1, DOGENZAKA, SHIBUYA-KU, TOKYO, JAPAN","1.0","adingo.jp"
"41","PUBLISHER",1,NA,NA,"fluct_g_ms@voyagegroup.com","FLUCT, INC., SHIBUYA SOLASTA 15F., 1-21-1, DOGENZAKA, SHIBUYA-KU, TOKYO, JAPAN","1.0","adingo.jp"
"42","PUBLISHER",1,NA,NA,"fluct_g_ms@voyagegroup.com","FLUCT, INC., SHIBUYA SOLASTA 15F., 1-21-1, DOGENZAKA, SHIBUYA-KU, TOKYO, JAPAN","1.0","adingo.jp"
"43","PUBLISHER",1,NA,NA,"fluct_g_ms@voyagegroup.com","FLUCT, INC., SHIBUYA SOLASTA 15F., 1-21-1, DOGENZAKA, SHIBUYA-KU, TOKYO, JAPAN","1.0","adingo.jp"
"44","PUBLISHER",NA,"<U+30EB><U+30DF><U+30C3><U+30AF><U+30B9>·<U+30A4><U+30F3><U+30BF><U+30FC><U+30CA><U+30B7><U+30E7><U+30CA><U+30EB><U+682A><U+5F0F><U+4F1A><U+793E>","rumix.com","fluct_g_ms@voyagegroup.com","FLUCT, INC., SHIBUYA SOLASTA 15F., 1-21-1, DOGENZAKA, SHIBUYA-KU, TOKYO, JAPAN","1.0","adingo.jp"
"45","PUBLISHER",1,NA,NA,"fluct_g_ms@voyagegroup.com","FLUCT, INC., SHIBUYA SOLASTA 15F., 1-21-1, DOGENZAKA, SHIBUYA-KU, TOKYO, JAPAN","1.0","adingo.jp"
"46","PUBLISHER",1,NA,NA,"fluct_g_ms@voyagegroup.com","FLUCT, INC., SHIBUYA SOLASTA 15F., 1-21-1, DOGENZAKA, SHIBUYA-KU, TOKYO, JAPAN","1.0","adingo.jp"
"47","PUBLISHER",1,NA,NA,"fluct_g_ms@voyagegroup.com","FLUCT, INC., SHIBUYA SOLASTA 15F., 1-21-1, DOGENZAKA, SHIBUYA-KU, TOKYO, JAPAN","1.0","adingo.jp"
"48","PUBLISHER",1,NA,NA,"fluct_g_ms@voyagegroup.com","FLUCT, INC., SHIBUYA SOLASTA 15F., 1-21-1, DOGENZAKA, SHIBUYA-KU, TOKYO, JAPAN","1.0","adingo.jp"
"49","PUBLISHER",1,NA,NA,"fluct_g_ms@voyagegroup.com","FLUCT, INC., SHIBUYA SOLASTA 15F., 1-21-1, DOGENZAKA, SHIBUYA-KU, TOKYO, JAPAN","1.0","adingo.jp"
"50","PUBLISHER",1,NA,NA,"fluct_g_ms@voyagegroup.com","FLUCT, INC., SHIBUYA SOLASTA 15F., 1-21-1, DOGENZAKA, SHIBUYA-KU, TOKYO, JAPAN","1.0","adingo.jp"
"52","PUBLISHER",1,NA,NA,"fluct_g_ms@voyagegroup.com","FLUCT, INC., SHIBUYA SOLASTA 15F., 1-21-1, DOGENZAKA, SHIBUYA-KU, TOKYO, JAPAN","1.0","adingo.jp"
"53","PUBLISHER",1,NA,NA,"fluct_g_ms@voyagegroup.com","FLUCT, INC., SHIBUYA SOLASTA 15F., 1-21-1, DOGENZAKA, SHIBUYA-KU, TOKYO, JAPAN","1.0","adingo.jp"
"54","PUBLISHER",1,NA,NA,"fluct_g_ms@voyagegroup.com","FLUCT, INC., SHIBUYA SOLASTA 15F., 1-21-1, DOGENZAKA, SHIBUYA-KU, TOKYO, JAPAN","1.0","adingo.jp"
"55","PUBLISHER",1,NA,NA,"fluct_g_ms@voyagegroup.com","FLUCT, INC., SHIBUYA SOLASTA 15F., 1-21-1, DOGENZAKA, SHIBUYA-KU, TOKYO, JAPAN","1.0","adingo.jp"
"57","PUBLISHER",1,NA,NA,"fluct_g_ms@voyagegroup.com","FLUCT, INC., SHIBUYA SOLASTA 15F., 1-21-1, DOGENZAKA, SHIBUYA-KU, TOKYO, JAPAN","1.0","adingo.jp"
"58","PUBLISHER",1,NA,NA,"fluct_g_ms@voyagegroup.com","FLUCT, INC., SHIBUYA SOLASTA 15F., 1-21-1, DOGENZAKA, SHIBUYA-KU, TOKYO, JAPAN","1.0","adingo.jp"
"59","PUBLISHER",1,NA,NA,"fluct_g_ms@voyagegroup.com","FLUCT, INC., SHIBUYA SOLASTA 15F., 1-21-1, DOGENZAKA, SHIBUYA-KU, TOKYO, JAPAN","1.0","adingo.jp"
"60","PUBLISHER",1,NA,NA,"fluct_g_ms@voyagegroup.com","FLUCT, INC., SHIBUYA SOLASTA 15F., 1-21-1, DOGENZAKA, SHIBUYA-KU, TOKYO, JAPAN","1.0","adingo.jp"
"61","PUBLISHER",1,NA,NA,"fluct_g_ms@voyagegroup.com","FLUCT, INC., SHIBUYA SOLASTA 15F., 1-21-1, DOGENZAKA, SHIBUYA-KU, TOKYO, JAPAN","1.0","adingo.jp"
"62","PUBLISHER",1,NA,NA,"fluct_g_ms@voyagegroup.com","FLUCT, INC., SHIBUYA SOLASTA 15F., 1-21-1, DOGENZAKA, SHIBUYA-KU, TOKYO, JAPAN","1.0","adingo.jp"
"63","PUBLISHER",1,NA,NA,"fluct_g_ms@voyagegroup.com","FLUCT, INC., SHIBUYA SOLASTA 15F., 1-21-1, DOGENZAKA, SHIBUYA-KU, TOKYO, JAPAN","1.0","adingo.jp"
"64","PUBLISHER",1,NA,NA,"fluct_g_ms@voyagegroup.com","FLUCT, INC., SHIBUYA SOLASTA 15F., 1-21-1, DOGENZAKA, SHIBUYA-KU, TOKYO, JAPAN","1.0","adingo.jp"
"65","PUBLISHER",1,NA,NA,"fluct_g_ms@voyagegroup.com","FLUCT, INC., SHIBUYA SOLASTA 15F., 1-21-1, DOGENZAKA, SHIBUYA-KU, TOKYO, JAPAN","1.0","adingo.jp"
"66","PUBLISHER",1,NA,NA,"fluct_g_ms@voyagegroup.com","FLUCT, INC., SHIBUYA SOLASTA 15F., 1-21-1, DOGENZAKA, SHIBUYA-KU, TOKYO, JAPAN","1.0","adingo.jp"
"67","PUBLISHER",1,NA,NA,"fluct_g_ms@voyagegroup.com","FLUCT, INC., SHIBUYA SOLASTA 15F., 1-21-1, DOGENZAKA, SHIBUYA-KU, TOKYO, JAPAN","1.0","adingo.jp"
"68","PUBLISHER",1,NA,NA,"fluct_g_ms@voyagegroup.com","FLUCT, INC., SHIBUYA SOLASTA 15F., 1-21-1, DOGENZAKA, SHIBUYA-KU, TOKYO, JAPAN","1.0","adingo.jp"
"69","PUBLISHER",1,NA,NA,"fluct_g_ms@voyagegroup.com","FLUCT, INC., SHIBUYA SOLASTA 15F., 1-21-1, DOGENZAKA, SHIBUYA-KU, TOKYO, JAPAN","1.0","adingo.jp"
"70","PUBLISHER",1,NA,NA,"fluct_g_ms@voyagegroup.com","FLUCT, INC., SHIBUYA SOLASTA 15F., 1-21-1, DOGENZAKA, SHIBUYA-KU, TOKYO, JAPAN","1.0","adingo.jp"
"71","PUBLISHER",1,NA,NA,"fluct_g_ms@voyagegroup.com","FLUCT, INC., SHIBUYA SOLASTA 15F., 1-21-1, DOGENZAKA, SHIBUYA-KU, TOKYO, JAPAN","1.0","adingo.jp"
"72","PUBLISHER",1,NA,NA,"fluct_g_ms@voyagegroup.com","FLUCT, INC., SHIBUYA SOLASTA 15F., 1-21-1, DOGENZAKA, SHIBUYA-KU, TOKYO, JAPAN","1.0","adingo.jp"
"73","PUBLISHER",1,NA,NA,"fluct_g_ms@voyagegroup.com","FLUCT, INC., SHIBUYA SOLASTA 15F., 1-21-1, DOGENZAKA, SHIBUYA-KU, TOKYO, JAPAN","1.0","adingo.jp"
"74","PUBLISHER",1,NA,NA,"fluct_g_ms@voyagegroup.com","FLUCT, INC., SHIBUYA SOLASTA 15F., 1-21-1, DOGENZAKA, SHIBUYA-KU, TOKYO, JAPAN","1.0","adingo.jp"
"75","PUBLISHER",1,NA,NA,"fluct_g_ms@voyagegroup.com","FLUCT, INC., SHIBUYA SOLASTA 15F., 1-21-1, DOGENZAKA, SHIBUYA-KU, TOKYO, JAPAN","1.0","adingo.jp"
"76","PUBLISHER",1,NA,NA,"fluct_g_ms@voyagegroup.com","FLUCT, INC., SHIBUYA SOLASTA 15F., 1-21-1, DOGENZAKA, SHIBUYA-KU, TOKYO, JAPAN","1.0","adingo.jp"
"77","PUBLISHER",1,NA,NA,"fluct_g_ms@voyagegroup.com","FLUCT, INC., SHIBUYA SOLASTA 15F., 1-21-1, DOGENZAKA, SHIBUYA-KU, TOKYO, JAPAN","1.0","adingo.jp"
