"name","seller_id","domain","seller_type","contact_email","contact_address","version","seller_json_source"
"152 Media LLC","fca1b951","152media.com","INTERMEDIARY","publishers@admanmedia.com","Aribau 230 - 240, 6a planta, Oficina CDE, 08006 Barcelona (+34) 936 28 93 92","1.0","admanmedia.com"
"180gradosquindio","212a12fd","180gradosquindio.com","PUBLISHER","publishers@admanmedia.com","Aribau 230 - 240, 6a planta, Oficina CDE, 08006 Barcelona (+34) 936 28 93 92","1.0","admanmedia.com"
"3DJuegos Publiaciones On Line Media S.L.","e5e4d28f","3djuegos.com","PUBLISHER","publishers@admanmedia.com","Aribau 230 - 240, 6a planta, Oficina CDE, 08006 Barcelona (+34) 936 28 93 92","1.0","admanmedia.com"
"ADD VALUE MEDIA S.L.","9caf4078","addvaluemedia.com","PUBLISHER","publishers@admanmedia.com","Aribau 230 - 240, 6a planta, Oficina CDE, 08006 Barcelona (+34) 936 28 93 92","1.0","admanmedia.com"
"ADDOOR LATINMARKETS S.L.","106aa3c1","addoor.net","INTERMEDIARY","publishers@admanmedia.com","Aribau 230 - 240, 6a planta, Oficina CDE, 08006 Barcelona (+34) 936 28 93 92","1.0","admanmedia.com"
"ADPV ADVERTISING PROVIDER S.L.","854a5604","adpv.com","INTERMEDIARY","publishers@admanmedia.com","Aribau 230 - 240, 6a planta, Oficina CDE, 08006 Barcelona (+34) 936 28 93 92","1.0","admanmedia.com"
"Adriano Rosa","1d28d354","ficarbonita.com","PUBLISHER","publishers@admanmedia.com","Aribau 230 - 240, 6a planta, Oficina CDE, 08006 Barcelona (+34) 936 28 93 92","1.0","admanmedia.com"
"AGENCIA SMILE LIMITADA","21f3ed69","ilustrado.cl","PUBLISHER","publishers@admanmedia.com","Aribau 230 - 240, 6a planta, Oficina CDE, 08006 Barcelona (+34) 936 28 93 92","1.0","admanmedia.com"
"Alex Serey","bce11d90","portalnet.cl","PUBLISHER","publishers@admanmedia.com","Aribau 230 - 240, 6a planta, Oficina CDE, 08006 Barcelona (+34) 936 28 93 92","1.0","admanmedia.com"
"ALRIGHT COMUNICA<U+FFFD>AO E MIDIA Ltda","62b30b3d","alright.com.br","INTERMEDIARY","publishers@admanmedia.com","Aribau 230 - 240, 6a planta, Oficina CDE, 08006 Barcelona (+34) 936 28 93 92","1.0","admanmedia.com"
"Andre Filipe Silverio","eb5d5a35","espantoso.org","PUBLISHER","publishers@admanmedia.com","Aribau 230 - 240, 6a planta, Oficina CDE, 08006 Barcelona (+34) 936 28 93 92","1.0","admanmedia.com"
"ARTE GRAFICO EDITORIAL ARGENTINO S.A.","ad8f2b7c","grupoclarin.com","PUBLISHER","publishers@admanmedia.com","Aribau 230 - 240, 6a planta, Oficina CDE, 08006 Barcelona (+34) 936 28 93 92","1.0","admanmedia.com"
"Asociaci<U+FFFD>n United Explanations","f29e61c1","muhimu.es","PUBLISHER","publishers@admanmedia.com","Aribau 230 - 240, 6a planta, Oficina CDE, 08006 Barcelona (+34) 936 28 93 92","1.0","admanmedia.com"
"BAE NEGOCIOS S.A","c9b25866","baenegocios.com","PUBLISHER","publishers@admanmedia.com","Aribau 230 - 240, 6a planta, Oficina CDE, 08006 Barcelona (+34) 936 28 93 92","1.0","admanmedia.com"
"BIOGUIA","6896abeb","labioguia.com","PUBLISHER","publishers@admanmedia.com","Aribau 230 - 240, 6a planta, Oficina CDE, 08006 Barcelona (+34) 936 28 93 92","1.0","admanmedia.com"
"BITBOL SA","7d06690c","bitbol.la","PUBLISHER","publishers@admanmedia.com","Aribau 230 - 240, 6a planta, Oficina CDE, 08006 Barcelona (+34) 936 28 93 92","1.0","admanmedia.com"
"BLUE MEDIA COMUNICACI<U+FFFD>N S.L.U.","b55cbe98","bluemedia.es","PUBLISHER","publishers@admanmedia.com","Aribau 230 - 240, 6a planta, Oficina CDE, 08006 Barcelona (+34) 936 28 93 92","1.0","admanmedia.com"
"Carlos Alberto Rojas Avila","38759e8a","uncafeconletras.es","PUBLISHER","publishers@admanmedia.com","Aribau 230 - 240, 6a planta, Oficina CDE, 08006 Barcelona (+34) 936 28 93 92","1.0","admanmedia.com"
"CARLOS VALLADOLID TORRES","ab6e2d41","bazzinga.info","PUBLISHER","publishers@admanmedia.com","Aribau 230 - 240, 6a planta, Oficina CDE, 08006 Barcelona (+34) 936 28 93 92","1.0","admanmedia.com"
"CASA EDITORIAL EL TIEMPO S.A.","d4888d3c","eltiempocasaeditorial.com","PUBLISHER","publishers@admanmedia.com","Aribau 230 - 240, 6a planta, Oficina CDE, 08006 Barcelona (+34) 936 28 93 92","1.0","admanmedia.com"
"CGN","0215b088","cgn.inf.br","PUBLISHER","publishers@admanmedia.com","Aribau 230 - 240, 6a planta, Oficina CDE, 08006 Barcelona (+34) 936 28 93 92","1.0","admanmedia.com"
"CLUBTURE ADVERTISING S.L","38396196","clubture.es","PUBLISHER","publishers@admanmedia.com","Aribau 230 - 240, 6a planta, Oficina CDE, 08006 Barcelona (+34) 936 28 93 92","1.0","admanmedia.com"
"COMERCIAL MULTIMEDIA VOCENTO","273ba763","vocento.com","PUBLISHER","publishers@admanmedia.com","Aribau 230 - 240, 6a planta, Oficina CDE, 08006 Barcelona (+34) 936 28 93 92","1.0","admanmedia.com"
"Cristian P<U+FFFD>rez Ortiz","9f5cfd51","natursan.net","PUBLISHER","publishers@admanmedia.com","Aribau 230 - 240, 6a planta, Oficina CDE, 08006 Barcelona (+34) 936 28 93 92","1.0","admanmedia.com"
"Cros Digital SL","11d0df5f","crosdigital.com","INTERMEDIARY","publishers@admanmedia.com","Aribau 230 - 240, 6a planta, Oficina CDE, 08006 Barcelona (+34) 936 28 93 92","1.0","admanmedia.com"
"DIARIO DE NAVARRA DIGITAL S.L.","7e2fd97f","diariodenavarra.es","PUBLISHER","publishers@admanmedia.com","Aribau 230 - 240, 6a planta, Oficina CDE, 08006 Barcelona (+34) 936 28 93 92","1.0","admanmedia.com"
"Diego Valladolid Torres","618b7132","elegimaldia.com","PUBLISHER","publishers@admanmedia.com","Aribau 230 - 240, 6a planta, Oficina CDE, 08006 Barcelona (+34) 936 28 93 92","1.0","admanmedia.com"
"Difoosion S.L.","db0d0c86","difoosion.com","PUBLISHER","publishers@admanmedia.com","Aribau 230 - 240, 6a planta, Oficina CDE, 08006 Barcelona (+34) 936 28 93 92","1.0","admanmedia.com"
"DIGITAL TOGINAMA SL","b67b12e2","xcatalunya.cat","PUBLISHER","publishers@admanmedia.com","Aribau 230 - 240, 6a planta, Oficina CDE, 08006 Barcelona (+34) 936 28 93 92","1.0","admanmedia.com"
"Edicions de Premsa Peri<U+FFFD>dica ARA, SL","c3235beb","ara.cat","PUBLISHER","publishers@admanmedia.com","Aribau 230 - 240, 6a planta, Oficina CDE, 08006 Barcelona (+34) 936 28 93 92","1.0","admanmedia.com"
"EDITORIAL ECOPRENSA, S.A.","d53cde64","eleconomista.es","PUBLISHER","publishers@admanmedia.com","Aribau 230 - 240, 6a planta, Oficina CDE, 08006 Barcelona (+34) 936 28 93 92","1.0","admanmedia.com"
"El Androide Libre SL","d2518405","elandroidelibre.elespanol.com","PUBLISHER","publishers@admanmedia.com","Aribau 230 - 240, 6a planta, Oficina CDE, 08006 Barcelona (+34) 936 28 93 92","1.0","admanmedia.com"
