"seller_id","name","domain","seller_type","comment","contact_email","contact_address","version","seller_json_source"
"12441","Network18 Media & Investments Ltd.","news18.com","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"12441","E-Eighteen.com Limited","moneycontrol.com","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"12441","Network18 Media & Investments Ltd.","firstpost.com","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"1098","Network18 Media & Investments Ltd.","forbesindia.com","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"2248","ADVERGAME TECHNOLOGIES PRIVATE LIMITED","games.gamezop.com","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"2631","FLICKSTREE PRODUCTIONS PRIVATE LIMITED","flickstree.com","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"11938","Nazara Technologies Limited","nazara.com","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"2258","Games2win India Pvt. Ltd.","games2winmedia.com","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"11938","Adways VC India Private Limited","the-pocket-money.com","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"12442","Bennett Coleman & Company Limited","timesnownews","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"15204","Ask.fm Europe Limited","ask.fm","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"88349","Jagran Prakashan Limited","jagran.com","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"2235","Jagran Prakashan Limited","mid-day.com","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"3112","Jagran Prakashan Limited","onlymyhealth.com","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"2010","Jagran Prakashan Limited","herzindagi.com","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"2010","Jagran Prakashan Limited","herzindagi.com","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"117","SARG GLOBAL DIGITAL PRIVATE LIMITED","republicworld.com","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"117","SARG GLOBAL DIGITAL PRIVATE LIMITED","republicworld.com","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"912372","Red Hot Web Gems India Private Limited","bollywoodshaadis.com","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"33762","Kesari Connect Private Ltd","punjabkesari.in","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"33762","Kesari Connect Private Ltd","jagbani.punjabkesari.in","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"2232","Kesari Connect Private Ltd","bollywoodtadka.in","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"6234","Aamoda Publications Pvt. Ltd","andhrajyothy.com","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"29181","VIKATAN .COM PVT LTD","vikatan.com","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"78327","tupaki","tupaki.com","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"33822","Hyderabad Media House Pvt. Ltd.","thehansindia.com","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"35192","News Track InfoMedia Pvt Ltd","newstracklive.com","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"19291","Amar Ujala Web Services Pvt Ltd","amarujala.com","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"228102","Webdunia.com(India) Pvt Ltd","webdunia.com","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"1100","Sandesh Digital Private Limited","Sandesh.com","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
"28801","Rajasthan Patrika Pvt Ltd","patrika.com","DIRECT","Sells O&O Inventory","Kush Rohra <kush@adsolut.in>","Adsolut Media 309, C Wing, Vikhroli (W, HMPL Surya Nagar, Vikhroli West Kailas Business Park), Mumbai, Maharashtra 400079",1,"adsolut.in"
