"seller_id","name","domain","seller_type","contact_email","version","seller_json_source"
"Pandora","Pandora","pandora.com","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"iheartmedia","iHeart Media","iheartmedia.com","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"tunein","TuneIn","tunein.com","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"entercom","Entercom","entercom.com","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"cumulus","Cumulus","cumulusmedia.com","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"univision","Univision","univision.com","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"entravision","Entravision","entravision.com","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"podcastone","Podcast One","podcastone.com","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"cox","COX/CMG","cox.com","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"emmis","Emmis","emmis.com","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"blogtalkradio","BlogTalkRadio","blogtalkradio.com","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"accuradio","Accuradio","accuradio.com","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"rogers","Rogers","rogers.com","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"wnyc","WNYC","wnyc.org","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"townsq","TownSquare","townsquaremedia.com","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"alphamedia","Alpha Media","alphamediausa.com","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"dax","DAX/Global","thisisdax.com","BOTH","support@adswizz.com",1,"adswizz.com"
"talksport","TalkSPORT","talksport.com","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"acast","ACast","acast.com","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"rmsi","RMS Radio Marketing Service","rms.de","BOTH","support@adswizz.com",1,"adswizz.com"
"oms","OMS NL","oms.fm","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"themediaexchange","TheMediaexchange","themediaexchange.com","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"soundcloud","SoundCloud","soundcloud.com","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"bauermedia","Bauer Media Group","bauermedia.co.uk","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"nrjfr","NRJ Group","nrj.fr","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"lagardere","Lagardere Group","lagardere.com","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"nextregie","Nextregie","nextms.fr","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"deezer","Deezer","deezer.com","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"audimark","Audimark","audimark.de","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"ipbelgium","IP Belgium","ipb.be","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"goldbach","Swiss Radioworld","swissradioworld.ch","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"mediamond","Mediamond","mediamond.it","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"rmc","RMC Media","rmcmedia.co.uk","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"rmb","RMB Agency","rmbagency.com","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"communicorpie","Communicorp Group Ltd","communicopmedia.com","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"sbs","SBS","spanishbroadcasting.com","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"studiogong","Studio Gong","studiogong.de","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"nrjch","NRJ CH","energy.ch","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"triboo","Triboo","triboo.com","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"rtlfr","RTL Group","rtl.fr","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"my105","my105 CH","my105.ch","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"hearmefm","Hear me FM","hearme.fm","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"antenne","Antenne Bayern","antenne.de","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"kriteria","Audioemotion","audioemotion.co.uk","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"redfm","Red FM","redfm.ie","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"r2italy","R2 Italy","r2mediafactory.com","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"rmf","RMF Advertising","rmfadvertising.com","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"cpd","CPD","80s80s.de","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"nrjintl","NRJ INTL","nrj.radio.gr","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"nzme","NZME/iHeart New Zealand","iheart.com","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"arn","ARN/iHeart Australia","iheart.com","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"saavn","JioSaavn","jiosaavn.com","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"tokyofm","TOKYO FM","tfm.co.jp","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"planetradiocity","BROADCAST MULTIMEDIA (Planetradiocity)","radiocity.in","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"audioboom","Audioboom","audioboom.com","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"mgl","MGL","myjoyonline.com","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"sca","SCA","triplem.com.au","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"adio","ADIO","adio.co.il","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"radioonlinehd","Radio Online HD","radioonlinehd.com","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"rcnguatemala","RCN Guatemala","rcn.com.gt","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"atunwa","Atunwa Digital","atunwadigital.com","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"radioactive","Radio Active","mediacorp.sg","PUBLISHER","support@adswizz.com",1,"adswizz.com"
"mediaprima","Media Prima","mediaprima.com.my","PUBLISHER","support@adswizz.com",1,"adswizz.com"
