"seller_id","seller_type","domain","name","is_confidential","version","seller_json_source"
"10702","INTERMEDIARY","garage.co.jp","Digital Garage",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"7044","INTERMEDIARY","corp.fluct.jp","fluct, Inc.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"3578","INTERMEDIARY","geologic.jp","GeoLogic, Inc.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"6901","INTERMEDIARY","microad.co.jp","MicroAd, Inc.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"7702","INTERMEDIARY","platform-one.co.jp","Platform-One",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"3112","PUBLISHER",NA,NA,"1","1.0","acdn.adnxs.comsellers1dxandr"
"8449","INTERMEDIARY","supership.jp","Supership Inc. / Ad Generation",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"3663","BOTH","yahoo.co.jp","Yahoo! JAPAN Ad Exchange",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"3849","PUBLISHER",NA,NA,"1","1.0","acdn.adnxs.comsellers1dxandr"
"7632","PUBLISHER",NA,NA,"1","1.0","acdn.adnxs.comsellers1dxandr"
"8363","PUBLISHER",NA,"24H ONLINE ADVERTISING JSC",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"3691","INTERMEDIARY","adasiaholdings.com","AdAsia Holdings Limited",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"8965","PUBLISHER","Bangkokpost.co.th","Bangkok Post Public Company Limited",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"10533","PUBLISHER","bectero.com","BEC-TERO Entertainment Public Company Limited",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"9977","PUBLISHER","dek-d.com","Dek-D Interactive Co.,Ltd.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"8860","PUBLISHER","kaidee.com","DF Marketplace Limited",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"7122","INTERMEDIARY","geniee.co.jp","Geniee, Inc. / SSP",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"8824","PUBLISHER","karangkraf.com","Grup Digital Sdn Bhd",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"3058","BOTH","innity.com","Innity Corporation Berhad",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"8361","INTERMEDIARY","inquirer.net","INQUIRER INTERACTIVE INC.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"8521","PUBLISHER","lowyat.net","Lowyat MSC Sdn. Bhd.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"10202","PUBLISHER",NA,"Malay Mail Sdn Bhd",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"8649","PUBLISHER","mediaprima.com.my","Media Prima Digital Sdn Bhd",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"9567","PUBLISHER","mudah.my","Mudah.my Sdn Bhd",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"10260","PUBLISHER",NA,"Oriental Daily Sdn Bhd",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"8764","PUBLISHER","idntimes.com","PT Media Putra Nusantara (IDN Media)",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"10095","PUBLISHER","indosport.com","PT Media Sport Indonesia",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"10375","PUBLISHER",NA,"PT. KAPAN LAGI DOT COM NETWORKS",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"8944","PUBLISHER","kompas.com","PT. Kompas Cyber Media",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"8779","PUBLISHER","olx.co.id","PT. TOKO BAGUS",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"10331","PUBLISHER","vidio.com","PT. Vidio Dot Com",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"9970","PUBLISHER",NA,"PT. VIVA MEDIA BARU",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"9038","PUBLISHER","starmediagroup.my","Star Media Group Berhad",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"10302","PUBLISHER","summitmedia.com.ph","Summit Publishing Company Inc.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"7821","PUBLISHER","clickthecity.com","Surf Shop, Inc.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"9553","PUBLISHER",NA,"Tencent (Thailand) Company Limited",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"9186","PUBLISHER","nanyang.com.my","The China Press Bhd",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"8604","PUBLISHER",NA,"The Daily Thanthi",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"2358","BOTH","urekamedia.com","Ureka Media Corporation",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"7648","PUBLISHER","overstock.com","Overstock.com Inc.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"181","INTERMEDIARY","google.com","Google AdExchange",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"3649","PUBLISHER","doodle.com","Doodle AG",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"8343","PUBLISHER","gutefrage.net","gutefrage.net GmbH",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"7100","PUBLISHER","gw-interactive.com","GWI Media Technologies GmbH",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"10053","PUBLISHER",NA,"Heise Medien GmbH & Co. KG",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"10526","PUBLISHER","krone.at","Krone Multimedia Ges.m.b.H. & Co. KG",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"7158","PUBLISHER",NA,"MAIRDUMONT NETLETIX",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"3480","PUBLISHER","netpoint-media.de","Netpoint Media GmbH",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"2252","PUBLISHER","advertising.de","One Advertising GmBH",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"7875","PUBLISHER","researchgate.net","ResearchGate GmbH",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"8793","INTERMEDIARY","traffective.com","Traffective GmbH",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"9144","PUBLISHER",NA,"WetterOnline Meteorologische Dienstleistungen GmbH",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"2894","INTERMEDIARY","adyoulike.com","AdYouLike S.A.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"7664","INTERMEDIARY","adyoulike.com","AdYouLike S.A.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"9733","BOTH","connatix.com","Connatix Inc",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"3360","BOTH","dailymotion.com","Dailymotion",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"7259","INTERMEDIARY","distroscale.com","DistroScale, Inc.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"3053","INTERMEDIARY","freewheel.tv","FreeWheel SSP",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"8173","INTERMEDIARY","kargo.com","Kargo Global, Inc",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"8171","INTERMEDIARY","liveintent.com","LiveIntent, Inc.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"8035","INTERMEDIARY","nativo.com","Nativo, Inc.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"7597","INTERMEDIARY","outbrain.com","Outbrain Inc.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"7666","INTERMEDIARY","revcontent.com","Revcontent, LLC",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"3425","INTERMEDIARY","sharethrough.com","Sharethrough",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"3364","INTERMEDIARY","taboola.com","Taboola Inc",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"3334","INTERMEDIARY","teads.tv","Teads France SAS",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"3332","INTERMEDIARY","telaria.com","Telaria, Inc.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"1314","INTERMEDIARY","triplelift.com","TripleLift Inc.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"6849","INTERMEDIARY","unrulygroup.com","UnrulyX",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"7911","INTERMEDIARY","yieldmo.com","Yieldmo, Inc.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"3926","INTERMEDIARY","plista.com","Plista Canada",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"9690","PUBLISHER","triad.com","Triad Digital Media - Staples",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"10362","PUBLISHER","triad.com","Triad Retail Media - Barnes & Noble",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"9682","PUBLISHER","triad.com","Triad Retail Media - CVS",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"9432","PUBLISHER","triad.com","Triad Retail Media - Gamestop",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"8237","PUBLISHER","triad.com","Triad Retail Media - Kohl's",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"8316","PUBLISHER","triad.com","Triad Retail Media - Sears",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"1661","INTERMEDIARY","groupm.com","Xaxis - US",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"6953","INTERMEDIARY","admixer.net","Admixer UA LLC",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"6897","INTERMEDIARY","advfn.com","ADVFN PLC",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"3549","INTERMEDIARY","concept.dk","conceptCPH ApS",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"3690","PUBLISHER","NewsNow.co.uk","NewsNow Publishing Limited",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"9818","PUBLISHER",NA,"Notsy",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"2858","INTERMEDIARY","rockabox.com","Rockabox Media LTD",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"2365","PUBLISHER","southernAdX.com","SouthernX",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"3491","INTERMEDIARY","streamamp.com","StreamAMP Ltd.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"3066","INTERMEDIARY","tolocal.nl","ToLocal BV",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"3723","BOTH",NA,"Ligatus Seller",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"3351","INTERMEDIARY",NA,"SmartClip (Video)",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"3368","INTERMEDIARY",NA,"SMARTSTREAM.TV GmbH",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"1405","INTERMEDIARY","adscale.de","Ströer SSP GmbH",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"3016","INTERMEDIARY","yieldlab.com","Yieldlab AG",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"7413","INTERMEDIARY",NA,NA,"1","1.0","acdn.adnxs.comsellers1dxandr"
"7596","INTERMEDIARY",NA,NA,"1","1.0","acdn.adnxs.comsellers1dxandr"
"7409","INTERMEDIARY",NA,NA,"1","1.0","acdn.adnxs.comsellers1dxandr"
"7410","INTERMEDIARY",NA,NA,"1","1.0","acdn.adnxs.comsellers1dxandr"
"7203","INTERMEDIARY","groupm.com","Mindshare Singapore",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"1840","INTERMEDIARY","groupm.com","Xaxis - Hong Kong",NA,"1.0","acdn.adnxs.comsellers1dxandr"
