"is_confidential","seller_type","seller_id","name","contact_email","contact_address","version","seller_json_source"
1,"PUBLISHER","1",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","2",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","3",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","4",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","6",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","7",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","8",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","9",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","10",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","11",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","12",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","13",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","14",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","15",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","16",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","17",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","18",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","20",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","21",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","22",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","24",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","26",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","27",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","28",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","29",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","30",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","31",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","32",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","33",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","34",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","35",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","36",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","37",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","38",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","39",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","40",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","41",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","42",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","43",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","44",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","45",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","46",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","47",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","48",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","49",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","50",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","51",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","52",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","53",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","54",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","55",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","56",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","57",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","58",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","59",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","60",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","61",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
1,"PUBLISHER","62",NA,"sales@ad-stir.com","MFPR Shibuya Bldg 9F, 1-2-5 Shibuya, Shibuyaku, Tokyo 150-0002 Japan","1.0","ad-stir.com"
