"seller_id","name","seller_type","domain","contact_email","contact_address","version","seller_json_source"
"2510891","AdDefend GmbH","PUBLISHER","addefend.com","support@yieldlab.de","Yieldlab AG, Colonnaden 41, 20354 Hamburg, Germany","1.0","ad.yieldlab.net"
"8717","Axel Springer Teaser Ad GmbH","PUBLISHER","adup-tech.com","support@yieldlab.de","Yieldlab AG, Colonnaden 41, 20354 Hamburg, Germany","1.0","ad.yieldlab.net"
"886718","Define Media GmbH","PUBLISHER","definemedia.de","support@yieldlab.de","Yieldlab AG, Colonnaden 41, 20354 Hamburg, Germany","1.0","ad.yieldlab.net"
"8930864","Freshclip GmbH & Co. KG","PUBLISHER","freshclip.de","support@yieldlab.de","Yieldlab AG, Colonnaden 41, 20354 Hamburg, Germany","1.0","ad.yieldlab.net"
"781119","TrustM","INTERMEDIARY","groupm.com","support@yieldlab.de","Yieldlab AG, Colonnaden 41, 20354 Hamburg, Germany","1.0","ad.yieldlab.net"
"961276","mPlatform (YDC)","INTERMEDIARY","groupm.com","support@yieldlab.de","Yieldlab AG, Colonnaden 41, 20354 Hamburg, Germany","1.0","ad.yieldlab.net"
"6374282","Omnicom Media Group Germany GmbH","INTERMEDIARY","omnicommediagroup.de","support@yieldlab.de","Yieldlab AG, Colonnaden 41, 20354 Hamburg, Germany","1.0","ad.yieldlab.net"
"2329165","pilot (YDC)","INTERMEDIARY","pilot.de","support@yieldlab.de","Yieldlab AG, Colonnaden 41, 20354 Hamburg, Germany","1.0","ad.yieldlab.net"
"5798882","Publicis (YDC)","INTERMEDIARY","publicispixelpark.de","support@yieldlab.de","Yieldlab AG, Colonnaden 41, 20354 Hamburg, Germany","1.0","ad.yieldlab.net"
"8657174","SoD ScreenOnDemand GmbH","PUBLISHER","screenondemand.de","support@yieldlab.de","Yieldlab AG, Colonnaden 41, 20354 Hamburg, Germany","1.0","ad.yieldlab.net"
"506261","Programmatic Exchange GmbH & Co. KG","INTERMEDIARY","serviceplan.com","support@yieldlab.de","Yieldlab AG, Colonnaden 41, 20354 Hamburg, Germany","1.0","ad.yieldlab.net"
"6378054","ShowHeroes GmbH","PUBLISHER","showheroes.com","support@yieldlab.de","Yieldlab AG, Colonnaden 41, 20354 Hamburg, Germany","1.0","ad.yieldlab.net"
"6871963","Traffective GmbH","PUBLISHER","traffective.com","support@yieldlab.de","Yieldlab AG, Colonnaden 41, 20354 Hamburg, Germany","1.0","ad.yieldlab.net"
"6248161","Video Intelligence AG","PUBLISHER","vi.ai","support@yieldlab.de","Yieldlab AG, Colonnaden 41, 20354 Hamburg, Germany","1.0","ad.yieldlab.net"
"17887","Insight Image Advertising Solutions GmbH","PUBLISHER","insightimage.de","support@yieldlab.de","Yieldlab AG, Colonnaden 41, 20354 Hamburg, Germany","1.0","ad.yieldlab.net"
"163835","tisoomi GmbH","PUBLISHER","tisoomi.com","support@yieldlab.de","Yieldlab AG, Colonnaden 41, 20354 Hamburg, Germany","1.0","ad.yieldlab.net"
"227224","Yieldlab Premium Network","INTERMEDIARY","yieldlab.de","support@yieldlab.de","Yieldlab AG, Colonnaden 41, 20354 Hamburg, Germany","1.0","ad.yieldlab.net"
"342882","mov.ad GmbH","INTERMEDIARY","yieldlab.de","support@yieldlab.de","Yieldlab AG, Colonnaden 41, 20354 Hamburg, Germany","1.0","ad.yieldlab.net"
"3888629","GiftConnect, Inc.","PUBLISHER","","support@yieldlab.de","Yieldlab AG, Colonnaden 41, 20354 Hamburg, Germany","1.0","ad.yieldlab.net"
"5494672","Performance Advertising (YDC)","INTERMEDIARY","performance-advertising.de","support@yieldlab.de","Yieldlab AG, Colonnaden 41, 20354 Hamburg, Germany","1.0","ad.yieldlab.net"
"8633311","Yieldlove GmbH","PUBLISHER","yieldlove.de","support@yieldlab.de","Yieldlab AG, Colonnaden 41, 20354 Hamburg, Germany","1.0","ad.yieldlab.net"
"35673","Advertising Alliance","PUBLISHER","aa.de","support@yieldlab.de","Yieldlab AG, Colonnaden 41, 20354 Hamburg, Germany","1.0","ad.yieldlab.net"
"8888896","AboutMedia Internetmarketing GmbH","PUBLISHER","aboutmedia.at","support@yieldlab.de","Yieldlab AG, Colonnaden 41, 20354 Hamburg, Germany","1.0","ad.yieldlab.net"
