"domain","name","seller_type","seller_id","version","seller_json_source"
"unity.com","Unity","INTERMEDIARY","0a0f72cd66122f31","1.0","adcolony.com"
"telenav.com","Telenav_RTB [RTB ENTRY POINT ONLY]","INTERMEDIARY","185c6db7b7ab3d1f","1.0","adcolony.com"
"inmobi.com","Inmobi","INTERMEDIARY","197af3936679d34e","1.0","adcolony.com"
"pubnative.net","PubNative","INTERMEDIARY","1efc6603710003ea","1.0","adcolony.com"
"groundtruth.com","Groundtruth","INTERMEDIARY","27d02d3d74c9c0ff","1.0","adcolony.com"
"adview.com","AdView","INTERMEDIARY","382d79cd1387e603","1.0","adcolony.com"
"inner-active.com","Fyber","INTERMEDIARY","3dcf9f51638afe2c","1.0","adcolony.com"
"amazon.in","Amazon_UAM","INTERMEDIARY","44ef7fd4adebf701","1.0","adcolony.com"
"smaato.com","Smaato","INTERMEDIARY","496220845654deec","1.0","adcolony.com"
"applovin.com","AppLovin","INTERMEDIARY","5d8cbf6671c93a42","1.0","adcolony.com"
"webeye.com","WebeyeMob","INTERMEDIARY","801e49d1be83b5f9","1.0","adcolony.com"
"vungle.com","Vungle","INTERMEDIARY","81685aa581edd381","1.0","adcolony.com"
"krushmedia.com","KrushMedia","INTERMEDIARY","8404137bc8673e51","1.0","adcolony.com"
"vrtcal.com","VRTCAL","INTERMEDIARY","8d559ca59197a1a0","1.0","adcolony.com"
"appodeal.com","Appodeal","INTERMEDIARY","a038eff5729c4315","1.0","adcolony.com"
"tappx.com","TappX","INTERMEDIARY","c490f6e7399a25d6","1.0","adcolony.com"
"iqzone.com","IQzone","INTERMEDIARY","c7b2bb9f944ae42a","1.0","adcolony.com"
"chocolateplatform.com","Chocolate","INTERMEDIARY","c8e1e9b57f5283e0","1.0","adcolony.com"
"decenterads.com","DecenterAds","INTERMEDIARY","e8d70ef9dfabde92","1.0","adcolony.com"
"meitu.com","Meitu","INTERMEDIARY","f858ba060bce51ad","1.0","adcolony.com"
"","Wasabi","PUBLISHER","00081c6105e58ad814b2f3035d7aaf73","1.0","adcolony.com"
"","SpSoft","PUBLISHER","000b139b8ad69cc678df4de856c26893","1.0","adcolony.com"
"","Aleksandr Dolbilov","PUBLISHER","001c01a5f40273ed8aa6bfb78983a4f5","1.0","adcolony.com"
"","Zaki Studio","PUBLISHER","0033ffe085572736c0b2c38a386f42d4","1.0","adcolony.com"
"","Pinso Marketing Limited","PUBLISHER","003b72969a7432d531ad3464a3bee0d1","1.0","adcolony.com"
"","ItzoSoft Apps","PUBLISHER","00455e9f7501a1ca6a435c65f2802b13","1.0","adcolony.com"
"","One Up Games Studio","PUBLISHER","00458f9afc31fae39506df0f7976de9a","1.0","adcolony.com"
"","Shayne Brady","PUBLISHER","004bfba627dd91bd28e1374a9c2370a5","1.0","adcolony.com"
"","Limitless LLC","PUBLISHER","0051648ae4e247cf61d01c0c0b18f1a7","1.0","adcolony.com"
"","DOOMSDAY Studio","PUBLISHER","0059556f46b338ca86fa9451844e0b8c","1.0","adcolony.com"
"","Mad Triangle","PUBLISHER","006012655dc38a9d44c1b8086514343e","1.0","adcolony.com"
"","Midnight Tea Studio","PUBLISHER","0067edd734926a8d16db9bc9c10981f1","1.0","adcolony.com"
"","GambleFly","PUBLISHER","006f5bf18eded94f87533625e0da0f4a","1.0","adcolony.com"
"manitobagames.net","Ludum LLC","PUBLISHER","00843617f3b9b0f8298e823dfd23001e","1.0","adcolony.com"
"","iDailybread Co., Limited","PUBLISHER","008dd8f4a4d248f319b5cd42b2e5918a","1.0","adcolony.com"
